session,trial,maze,regime,correct,chosen,correct_exit,ml_alt,looked_ml_alt,n_other_alt_looked,looked_any_unchosen,first_unchosen_look,first_look_is_ml,window_start_ms,n_fixations_in_window
Dec_01_g0,47,6,sequential,True,RD,RD,RU,False,0,False,,,3811.0,10
Dec_01_g0,48,2,hierarchical,False,LU,LD,LD,False,1,True,RD,False,4462.0,11
Dec_01_g0,49,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4261.0,10
Dec_01_g0,51,5,sequential,True,LU,LU,RU,False,1,True,LD,False,4109.0,9
Dec_01_g0,53,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3850.0,9
Dec_01_g0,56,4,hierarchical,True,RU,RU,RD,False,0,False,,,4261.0,10
Dec_01_g0,57,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3842.0,13
Dec_01_g0,58,2,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4441.0,12
Dec_01_g0,59,5,sequential,True,RD,RD,LU,True,1,True,LU,True,3804.0,10
Dec_01_g0,60,4,hierarchical,True,LD,LD,LU,False,0,False,,,4544.0,7
Dec_01_g0,61,6,sequential,True,LD,LD,LU,False,1,True,RU,False,4620.0,9
Dec_01_g0,63,4,hierarchical,False,LD,LU,LU,False,0,False,,,4229.0,10
Dec_01_g0,64,3,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4088.0,12
Dec_01_g0,65,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4531.0,11
Dec_01_g0,66,3,hierarchical,True,LU,LU,LD,False,2,True,RU,False,4115.0,9
Dec_01_g0,67,3,hierarchical,True,LD,LD,RU,False,2,True,LU,False,4397.0,10
Dec_01_g0,68,6,sequential,True,RD,RD,RU,True,1,True,RU,True,3858.0,11
Dec_01_g0,70,5,sequential,True,LU,LU,RU,False,1,True,RD,False,3984.0,11
Dec_01_g0,71,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4499.0,10
Dec_01_g0,72,5,sequential,True,RU,RU,LD,False,2,True,LU,False,4233.0,11
Dec_01_g0,73,4,hierarchical,True,LD,LD,LU,False,1,True,RU,False,4694.0,11
Dec_01_g0,74,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4548.0,9
Dec_01_g0,75,3,hierarchical,True,RU,RU,LD,True,1,True,RD,False,4490.0,9
Dec_01_g0,76,6,sequential,True,LD,LD,LU,False,1,True,RU,False,4472.0,13
Dec_01_g0,78,5,sequential,True,RU,RU,LD,False,1,True,LU,False,4266.0,10
Dec_01_g0,79,4,hierarchical,True,LD,LD,LU,False,1,True,RD,False,4574.0,15
Dec_01_g0,81,5,sequential,True,RU,RU,LD,False,2,True,LU,False,4218.0,11
Dec_01_g0,82,4,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4457.0,13
Dec_01_g0,83,6,sequential,False,LU,RU,RU,False,0,False,,,4023.0,8
Dec_01_g0,85,5,sequential,False,RU,LD,LD,False,0,False,,,4453.0,15
Dec_01_g0,86,4,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4189.0,7
Dec_01_g0,87,4,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4129.0,14
Dec_01_g0,88,6,sequential,True,LU,LU,LD,False,1,True,RU,False,4415.0,8
Dec_01_g0,89,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4524.0,13
Dec_01_g0,90,2,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4371.0,13
Dec_01_g0,91,3,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4216.0,9
Dec_01_g0,92,1,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4328.0,15
Dec_01_g0,93,1,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4126.0,15
Dec_01_g0,95,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4574.0,11
Dec_01_g0,96,6,sequential,False,LU,LD,LD,True,0,True,LD,True,4446.0,10
Dec_01_g0,98,6,sequential,False,LU,LD,LD,False,0,False,,,4404.0,10
Dec_01_g0,99,2,hierarchical,True,RD,RD,RU,False,0,False,,,4447.0,13
Dec_01_g0,100,2,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4390.0,12
Dec_01_g0,101,3,hierarchical,True,LU,LU,LD,False,1,True,RU,False,4172.0,10
Dec_01_g0,102,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4368.0,10
Dec_01_g0,105,6,sequential,True,RD,RD,RU,False,1,True,LD,False,3914.0,13
Dec_01_g0,107,3,hierarchical,True,LD,LD,RU,True,0,True,RU,True,4495.0,8
Dec_01_g0,108,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4817.0,11
Dec_01_g0,109,4,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4231.0,6
Dec_01_g0,110,4,hierarchical,True,LU,LU,LD,True,1,True,RU,False,4356.0,10
Dec_01_g0,111,3,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4046.0,12
Dec_01_g0,112,3,hierarchical,True,RU,RU,LD,False,2,True,RD,False,4555.0,11
Dec_01_g0,113,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4710.0,12
Dec_01_g0,114,3,hierarchical,True,LD,LD,RU,False,2,True,LU,False,4486.0,12
Dec_01_g0,116,4,hierarchical,True,RU,RU,RD,False,1,True,LD,False,4223.0,13
Dec_01_g0,117,5,sequential,False,RU,LD,LD,False,1,True,RD,False,4493.0,9
Dec_01_g0,118,5,sequential,True,LU,LU,RU,False,0,False,,,3982.0,12
Dec_01_g0,119,5,sequential,True,RD,RD,LU,True,1,True,LU,True,3887.0,11
Dec_01_g0,120,1,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4382.0,13
Dec_01_g0,121,5,sequential,True,LU,LU,RU,False,1,True,LD,False,4048.0,12
Dec_01_g0,122,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3855.0,11
Dec_01_g0,123,5,sequential,True,LU,LU,RU,False,1,True,RD,False,4093.0,11
Dec_01_g0,124,5,sequential,False,LU,RU,RU,False,1,True,LD,False,4208.0,11
Dec_01_g0,125,1,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4910.0,8
Dec_01_g0,126,4,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4470.0,11
Dec_01_g0,127,3,hierarchical,False,LU,LD,LD,False,0,False,,,4459.0,12
Dec_01_g0,128,1,hierarchical,True,LU,LU,LD,False,0,False,,,4230.0,10
Dec_01_g0,129,3,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4488.0,12
Dec_01_g0,130,4,hierarchical,False,LU,RD,RD,False,0,False,,,4144.0,14
Dec_01_g0,131,4,hierarchical,False,LD,LU,LU,False,0,False,,,4243.0,10
Dec_01_g0,132,4,hierarchical,False,LU,LD,LD,True,0,True,LD,True,4648.0,14
Dec_01_g0,133,6,sequential,False,LD,LU,LU,False,1,True,RD,False,4338.0,9
Dec_01_g0,134,6,sequential,True,LU,LU,LD,False,1,True,RD,False,4311.0,10
Dec_01_g0,136,1,hierarchical,False,RU,RD,RD,True,0,True,RD,True,4348.0,10
Dec_01_g0,137,2,hierarchical,False,LD,LU,LU,True,1,True,RD,False,4361.0,11
Dec_01_g0,138,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4456.0,12
Dec_01_g0,139,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4320.0,11
Dec_01_g0,140,5,sequential,False,RD,LU,LU,True,0,True,LU,True,4070.0,8
Dec_01_g0,141,2,hierarchical,True,RU,RU,RD,False,1,True,LD,False,4756.0,8
Dec_01_g0,142,1,hierarchical,True,LD,LD,LU,False,1,True,RD,False,4464.0,10
Dec_01_g0,143,2,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4558.0,9
Dec_01_g0,144,4,hierarchical,True,LD,LD,LU,False,0,False,,,4649.0,9
Dec_01_g0,145,6,sequential,True,RD,RD,RU,False,1,True,LD,False,3883.0,12
Dec_01_g0,148,5,sequential,True,LU,LU,RU,False,0,False,,,4034.0,10
Dec_01_g0,151,6,sequential,False,LU,LD,LD,True,0,True,LD,True,4477.0,10
Dec_01_g0,152,4,hierarchical,True,LU,LU,LD,False,0,False,,,4285.0,11
Dec_01_g0,153,6,sequential,False,LU,LD,LD,False,0,False,,,4510.0,11
Dec_01_g0,154,6,sequential,False,LU,LD,LD,False,0,False,,,4460.0,14
Dec_01_g0,155,6,sequential,False,LU,LD,LD,True,0,True,LD,True,4492.0,12
Dec_01_g0,156,2,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4449.0,14
Dec_01_g0,157,6,sequential,True,LD,LD,LU,False,0,False,,,4518.0,8
Dec_01_g0,158,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4226.0,11
Dec_01_g0,160,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4793.0,8
Dec_01_g0,161,1,hierarchical,True,LD,LD,LU,False,1,True,RD,False,4396.0,11
Dec_01_g0,164,1,hierarchical,True,LU,LU,LD,True,1,True,RU,False,4247.0,8
Dec_01_g0,165,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3884.0,10
Dec_01_g0,166,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3842.0,10
Dec_01_g0,167,1,hierarchical,False,RU,LD,LD,False,0,False,,,4386.0,8
Dec_01_g0,168,5,sequential,False,LU,LD,LD,False,1,True,RD,False,4562.0,11
Dec_01_g0,169,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4714.0,11
Dec_01_g0,170,4,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4232.0,10
Dec_01_g0,171,6,sequential,True,LU,LU,LD,False,1,True,RU,False,4371.0,10
Dec_01_g0,172,2,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4473.0,9
Dec_01_g0,174,5,sequential,False,RU,LD,LD,False,1,True,RD,False,4466.0,14
Dec_01_g0,175,6,sequential,True,LU,LU,LD,False,0,False,,,4229.0,13
Dec_01_g0,176,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4724.0,10
Dec_01_g0,177,4,hierarchical,False,RU,LU,LU,False,1,True,RD,False,4387.0,8
Dec_01_g0,179,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3889.0,11
Dec_01_g0,181,5,sequential,False,RU,LU,LU,False,0,False,,,4071.0,7
Dec_01_g0,182,2,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4638.0,10
Dec_01_g0,183,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4569.0,11
Dec_01_g0,184,4,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4603.0,10
Dec_01_g0,185,4,hierarchical,True,LD,LD,LU,False,0,False,,,4627.0,9
Dec_01_g0,186,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4403.0,10
Dec_01_g0,187,6,sequential,True,RD,RD,RU,False,0,False,,,3857.0,11
Dec_01_g0,188,5,sequential,True,LD,LD,RU,False,1,True,RD,False,4455.0,11
Dec_01_g0,189,6,sequential,False,LU,RU,RU,False,0,False,,,4260.0,10
Dec_01_g0,190,4,hierarchical,True,RD,RD,RU,False,0,False,,,4162.0,5
Dec_01_g0,191,3,hierarchical,True,RU,RU,LD,False,2,True,RD,False,4448.0,9
Dec_01_g0,192,6,sequential,True,RD,RD,RU,False,0,False,,,3995.0,13
Dec_01_g0,194,6,sequential,False,LU,RU,RU,False,0,False,,,4124.0,12
Dec_01_g0,195,4,hierarchical,True,RD,RD,RU,False,0,False,,,4286.0,11
Dec_01_g0,196,4,hierarchical,True,LU,LU,LD,False,1,True,RU,False,4198.0,15
Dec_01_g0,197,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4753.0,11
Dec_01_g0,198,1,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4070.0,8
Dec_01_g0,200,4,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4168.0,12
Dec_01_g0,201,4,hierarchical,True,LD,LD,LU,False,2,True,RU,False,4625.0,14
Dec_01_g0,203,5,sequential,False,LU,LD,LD,False,1,True,RD,False,4373.0,7
Dec_01_g0,204,4,hierarchical,True,RD,RD,RU,False,0,False,,,4132.0,10
Dec_01_g0,205,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4529.0,11
Dec_01_g0,206,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4249.0,12
Dec_01_g0,207,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4511.0,15
Dec_01_g0,208,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4350.0,12
Dec_01_g0,209,6,sequential,True,RD,RD,RU,False,1,True,LD,False,3952.0,10
Dec_01_g0,210,3,hierarchical,True,RU,RU,LD,False,1,True,RD,False,4461.0,9
Dec_01_g0,211,3,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4116.0,11
Dec_01_g0,212,2,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4399.0,12
Dec_01_g0,213,6,sequential,False,LU,RU,RU,False,1,True,RD,False,4226.0,12
Dec_01_g0,214,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3897.0,9
Dec_01_g0,215,3,hierarchical,True,RD,RD,RU,True,1,True,LU,False,4133.0,12
Dec_01_g0,216,1,hierarchical,True,LD,LD,LU,False,0,False,,,4466.0,12
Dec_01_g0,217,2,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4334.0,12
Dec_01_g0,219,4,hierarchical,True,LU,LU,LD,True,1,True,LD,True,4265.0,8
Dec_01_g0,220,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4461.0,11
Dec_01_g0,221,6,sequential,False,LU,LD,LD,False,0,False,,,4535.0,8
Dec_01_g0,222,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3813.0,8
Dec_01_g0,223,1,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4779.0,11
Dec_01_g0,224,2,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4443.0,11
Dec_01_g0,225,3,hierarchical,True,RU,RU,LD,False,1,True,RD,False,4491.0,10
Dec_01_g0,226,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4522.0,10
Dec_01_g0,227,5,sequential,True,LU,LU,RU,False,0,False,,,4003.0,8
Dec_01_g0,228,6,sequential,False,LU,RU,RU,False,1,True,RD,False,4254.0,13
Dec_01_g0,229,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4701.0,13
Dec_01_g0,231,4,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4285.0,12
Dec_01_g0,232,2,hierarchical,True,RD,RD,RU,False,0,False,,,4315.0,11
Dec_01_g0,233,3,hierarchical,True,LU,LU,LD,False,0,False,,,4028.0,11
Dec_01_g0,234,4,hierarchical,True,LD,LD,LU,False,0,False,,,4446.0,6
Dec_01_g0,235,2,hierarchical,False,RU,RD,RD,False,1,True,LD,False,4560.0,10
Dec_01_g0,236,5,sequential,True,LU,LU,RU,False,0,False,,,4068.0,9
Dec_01_g0,237,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4440.0,9
Dec_01_g0,239,1,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4524.0,10
Dec_01_g0,240,6,sequential,True,LU,LU,LD,False,1,True,RD,False,4410.0,7
Dec_01_g0,241,1,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4529.0,13
Dec_01_g0,242,3,hierarchical,True,RD,RD,RU,False,2,True,LU,False,4075.0,11
Dec_01_g0,243,3,hierarchical,False,RU,LD,LD,True,0,True,LD,True,4450.0,12
Dec_01_g0,244,3,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4166.0,7
Dec_01_g0,245,3,hierarchical,False,RD,LU,LU,True,0,True,LU,True,4108.0,9
Dec_01_g0,246,4,hierarchical,True,RD,RD,RU,False,0,False,,,4182.0,9
Dec_01_g0,247,5,sequential,True,RU,RU,LD,False,0,False,,,4399.0,11
Dec_01_g0,248,4,hierarchical,True,LU,LU,LD,True,1,True,LD,True,4216.0,10
Dec_01_g0,249,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4233.0,13
Dec_01_g0,250,1,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4109.0,10
Dec_01_g0,251,4,hierarchical,False,RU,RD,RD,True,0,True,RD,True,4238.0,9
Dec_01_g0,252,4,hierarchical,True,RU,RU,RD,False,0,False,,,4360.0,8
Dec_01_g0,253,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4511.0,7
Dec_01_g0,254,3,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4165.0,11
Dec_01_g0,256,4,hierarchical,True,RD,RD,RU,False,0,False,,,4088.0,7
Dec_01_g0,257,6,sequential,True,RD,RD,RU,False,1,True,LU,False,3951.0,11
Dec_01_g0,258,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4498.0,12
Dec_01_g0,259,6,sequential,True,RD,RD,RU,False,0,False,,,3925.0,11
Dec_01_g0,260,2,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4328.0,14
Dec_01_g0,262,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3959.0,7
Dec_01_g0,263,4,hierarchical,False,LU,LD,LD,False,0,False,,,4496.0,11
Dec_01_g0,265,2,hierarchical,True,RD,RD,RU,False,0,False,,,4275.0,11
Dec_01_g0,266,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4474.0,13
Dec_01_g0,267,2,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4375.0,11
Dec_01_g0,268,1,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4797.0,9
Dec_01_g0,269,6,sequential,False,LU,RU,RU,False,0,False,,,4092.0,12
Dec_01_g0,270,2,hierarchical,True,LU,LU,LD,False,0,False,,,4407.0,10
Dec_01_g0,271,5,sequential,False,RU,LD,LD,False,0,False,,,4431.0,11
Dec_01_g0,272,1,hierarchical,True,RD,RD,RU,False,0,False,,,4326.0,6
Dec_01_g0,273,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4718.0,8
Dec_01_g0,274,1,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4009.0,9
Dec_01_g0,275,3,hierarchical,True,RU,RU,LD,True,1,True,RD,False,4558.0,11
Dec_01_g0,276,4,hierarchical,False,RU,LU,LU,False,0,False,,,4339.0,10
Dec_01_g0,277,2,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4360.0,11
Dec_01_g0,278,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4535.0,10
Dec_01_g0,279,4,hierarchical,True,RD,RD,RU,False,0,False,,,4102.0,10
Dec_01_g0,280,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4274.0,9
Dec_01_g0,281,3,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4207.0,13
Dec_01_g0,283,5,sequential,True,RU,RU,LD,False,1,True,RD,False,4343.0,9
Dec_01_g0,284,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3985.0,9
Dec_01_g0,285,4,hierarchical,True,LD,LD,LU,False,1,True,RD,False,4644.0,10
Dec_01_g0,286,3,hierarchical,True,RD,RD,RU,False,0,False,,,4236.0,12
Dec_01_g0,287,1,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4347.0,9
Dec_01_g0,288,3,hierarchical,True,RU,RU,LD,False,1,True,LU,False,4553.0,14
Dec_01_g0,289,6,sequential,True,RD,RD,RU,False,0,False,,,3926.0,13
Dec_01_g0,290,1,hierarchical,False,RU,LD,LD,False,0,False,,,4435.0,11
Dec_01_g0,291,5,sequential,True,LU,LU,RU,False,1,True,RD,False,4062.0,10
Dec_01_g0,292,3,hierarchical,True,RU,RU,LD,False,2,True,LU,False,4521.0,7
Dec_01_g0,293,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4473.0,10
Dec_01_g0,294,3,hierarchical,True,RU,RU,LD,False,2,True,LU,False,4546.0,12
Dec_01_g0,295,4,hierarchical,True,LD,LD,LU,False,0,False,,,4483.0,8
Dec_01_g0,297,6,sequential,True,LU,LU,LD,True,0,True,LD,True,4345.0,10
Dec_01_g0,298,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3825.0,9
Dec_01_g0,299,4,hierarchical,True,LU,LU,LD,False,0,False,,,4351.0,10
Dec_01_g0,300,6,sequential,True,RU,RU,LU,False,1,True,RD,False,4038.0,11
Dec_01_g0,301,6,sequential,True,LU,LU,LD,False,1,True,RU,False,4212.0,10
Dec_01_g0,302,3,hierarchical,True,LD,LD,RU,False,2,True,RD,False,4422.0,10
Dec_01_g0,303,2,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4473.0,8
Dec_01_g0,304,3,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4023.0,14
Dec_01_g0,305,3,hierarchical,False,RD,LU,LU,False,1,True,LD,False,4136.0,11
Dec_01_g0,306,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4507.0,11
Dec_01_g0,307,3,hierarchical,True,LU,LU,LD,False,0,False,,,3998.0,9
Dec_01_g0,308,6,sequential,True,LD,LD,LU,False,0,False,,,4553.0,9
Dec_01_g0,309,6,sequential,False,LU,RU,RU,False,0,False,,,4101.0,13
Dec_01_g0,310,5,sequential,True,RU,RU,LD,False,2,True,RD,False,4305.0,9
Dec_01_g0,311,5,sequential,False,RU,LU,LU,False,1,True,LD,False,3957.0,11
Dec_01_g0,312,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3863.0,11
Dec_01_g0,313,2,hierarchical,True,RD,RD,RU,False,0,False,,,4323.0,7
Dec_01_g0,314,5,sequential,True,LD,LD,RU,False,1,True,RD,False,4403.0,11
Dec_01_g0,315,4,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4201.0,11
Dec_01_g0,316,5,sequential,True,LU,LU,RU,False,2,True,RD,False,3990.0,11
Dec_01_g0,317,2,hierarchical,True,RD,RD,RU,False,0,False,,,4313.0,13
Dec_01_g0,318,6,sequential,False,RU,LU,LU,False,0,False,,,4186.0,6
Dec_01_g0,319,1,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4147.0,10
Dec_01_g0,320,5,sequential,False,RU,LU,LU,False,0,False,,,4102.0,8
Dec_01_g0,321,5,sequential,True,RD,RD,LU,False,0,False,,,3794.0,9
Dec_01_g0,322,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4410.0,9
Dec_01_g0,323,3,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4092.0,10
Dec_01_g0,324,1,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4667.0,9
Dec_01_g0,325,5,sequential,True,RU,RU,LD,False,0,False,,,4183.0,7
Dec_01_g0,326,1,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4196.0,11
Dec_01_g0,327,5,sequential,True,RU,RU,LD,False,1,True,RD,False,4588.0,10
Dec_01_g0,328,5,sequential,False,RU,LU,LU,False,1,True,RD,False,4057.0,9
Dec_01_g0,329,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4750.0,7
Dec_01_g0,330,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3771.0,12
Dec_01_g0,331,6,sequential,True,RD,RD,RU,False,1,True,LU,False,3878.0,11
Dec_01_g0,332,4,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4260.0,11
Dec_01_g0,333,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4391.0,10
Dec_01_g0,335,2,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4624.0,11
Dec_01_g0,336,3,hierarchical,True,LD,LD,RU,False,1,True,RD,False,4459.0,8
Dec_01_g0,337,6,sequential,True,LU,LU,LD,False,1,True,RU,False,4348.0,8
Dec_01_g0,338,2,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4597.0,9
Dec_01_g0,339,6,sequential,True,LD,LD,LU,False,1,True,RD,False,4386.0,11
Dec_01_g0,340,5,sequential,True,RU,RU,LD,False,0,False,,,4239.0,10
Dec_01_g0,341,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4457.0,9
Dec_01_g0,342,1,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4044.0,8
Dec_01_g0,343,1,hierarchical,True,RU,RU,RD,True,1,True,LU,False,4951.0,9
Dec_01_g0,344,4,hierarchical,True,LD,LD,LU,False,1,True,RD,False,4447.0,13
Dec_01_g0,346,2,hierarchical,False,LD,LU,LU,False,1,True,RD,False,4323.0,13
Dec_01_g0,347,6,sequential,False,LU,RU,RU,False,0,False,,,3986.0,11
Dec_01_g0,349,4,hierarchical,True,LU,LU,LD,True,0,True,LD,True,4183.0,9
